,ID,DATE,ROUTE_SURVEYED,BOARDING_LOCATION,BOARDING_LAT,BOARDING_LON,TRANSFERS_FROM_FIRST,ORIGIN_LAT_100M,ORIGIN_LON_100M,TIME_ON,route_type,Vertical_direction,Horizontal_direction
15503,15504,2016-09-29 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 6th St,44.947589,-93.092726,68 Jackson St - Robert St - 5th Av - Inver Hills [ Minneapolis Metro Transit ],44.901,-93.056,8:00 - 9:00 am,68,0.04658899999999733,-0.03672600000000159
15504,15505,2016-09-29 00:00:00,BLUE METRO Blue Line [NB],MOA Transit Station,44.854287,-93.238861,515 Southdale - 66th St - Bloomington Av - VA - MOA [ Minneapolis Metro Transit ],44.877,-93.261,8:00 - 9:00 am,515,-0.022713000000003092,0.02213899999999569
15510,15511,2016-09-29 00:00:00,123 U of M - 4th Street Circulator [LP],Oak St SE & University Ave SE,44.975378,-93.226583,GREEN METRO Green Line [ Minneapolis Metro Transit ],44.968,-93.208,8:00 - 9:00 am,GREEN,0.007377999999995666,-0.018583000000006678
15533,15534,2016-09-29 00:00:00,3 U of M - Como Av - Energy Park Dr - Maryland Av [WB],Minnesota St & 6th St,44.947589,-93.092726,64 Payne - Maryland - White Bear Av - Maplewood [ Minneapolis Metro Transit ],44.971,-93.074,8:00 - 9:00 am,64,-0.023410999999995852,-0.01872600000000091
15545,15546,2016-09-29 00:00:00,121 U of M - Campus Connector [EB],Oak St SE & University Ave SE,44.975378,-93.226583,2 Franklin Av - Riverside Av - U of M - 8th St SE [ Minneapolis Metro Transit ],44.988,-93.247,9:00 - 10:00 am,2,-0.012622000000000355,0.0204169999999948
15552,15553,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,9 Glenwood Av - Wayzata Blvd - Cedar Lk Rd -46St LRT [ Minneapolis Metro Transit ],44.978,-93.303,9:00 - 10:00 am,9,0.0020030000000019754,0.02985599999999522
15557,15558,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,22 Brklyn Ctr - Lyndale Av N - Cedar - 28th Av S - VA [ Minneapolis Metro Transit ],45.016,-93.288,9:00 - 10:00 am,22,-0.03599699999999473,0.014855999999994651
15561,15562,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,6 U of M - Hennepin - Xerxes - France - Southdale [ Minneapolis Metro Transit ],44.963,-93.292,9:00 - 10:00 am,6,0.017003000000002544,0.01885599999999954
15564,15565,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Nicollet Mall Station,44.978491,-93.269912,10 Central Av - University Av - Northtown [ Minneapolis Metro Transit ],45.0,-93.247,9:00 - 10:00 am,10,-0.021509000000001777,-0.02291200000000515
15567,15568,2016-09-29 00:00:00,121 U of M - Campus Connector [WB],Buford Ave & Gortner Ave,44.984409,-93.181643,124 U of M - St Paul Circulator [ Minneapolis Metro Transit ],44.987,-93.185,9:00 - 10:00 am,124,-0.0025910000000024525,0.00335700000000827
15574,15575,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Target Field Station Platform 1,44.983036,-93.27745,19 Olson Memorial Hwy - Penn Av N - Brooklyn Center [ Minneapolis Metro Transit ],45.0,-93.308,9:00 - 10:00 am,19,-0.016964000000001533,0.030550000000005184
15586,15587,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,18 Nicollet Av - South Bloomington [ Minneapolis Metro Transit ],44.954,-93.276,9:00 - 10:00 am,18,0.026003000000002885,0.0028559999999941965
15587,15588,2016-09-29 00:00:00,GREEN METRO Green Line [EB],Warehouse Hennepin Ave Station,44.980003,-93.273144,18 Nicollet Av - South Bloomington [ Minneapolis Metro Transit ],44.967,-93.277,10:00 - 11:00 am,18,0.01300300000000476,0.0038559999999989714
15604,15605,2016-09-29 00:00:00,BLUE METRO Blue Line [SB],Nicollet Mall Station,44.978491,-93.269912,852 Express - Anoka - Coon Rapids - Northtown - Mpls [ Minneapolis Metro Transit ],45.031,-93.166,10:00 - 11:00 am,852,-0.05250900000000058,-0.10391200000000822
